repo,id,title,state,user,user_type,created_at,merged_at
puppetlabs/puppetlabs-docker,487,(FM-8055) Add RedHat 8 support,open,eimlav,member,2019-05-22 12:08:34 UTC,
puppetlabs/puppetlabs-docker,486,(FM-8100) Update minimum supported Puppet version to 5.5.10,merged,eimlav,member,2019-05-22 11:28:47 UTC,2019-05-22 11:59:14 UTC
puppetlabs/puppetlabs-docker,484,(MODULES-9029) Update pdk-template to 46a1deb,merged,eimlav,member,2019-05-16 11:06:37 UTC,2019-05-17 11:28:52 UTC
puppetlabs/puppetlabs-docker,483,(MODULES-9033) Fix failing acceptance tests on all platforms,merged,eimlav,member,2019-05-15 08:08:44 UTC,2019-05-15 08:24:40 UTC
puppetlabs/puppetlabs-docker,482,Added option to override docker-compose download location,open,piquet90,first_time_contributor,2019-05-13 08:41:16 UTC,
puppetlabs/puppetlabs-docker,480,Update docker volume documentation,merged,benningm,contributor,2019-05-06 13:51:15 UTC,2019-05-07 07:31:12 UTC
puppetlabs/puppetlabs-docker,478,Add missing single quote,merged,DavidS,member,2019-04-27 12:02:32 UTC,2019-05-01 12:44:56 UTC
puppetlabs/puppetlabs-docker,477,Allow bypassing curl package ensure if needed,open,esalberg,contributor,2019-04-25 22:32:39 UTC,
puppetlabs/puppetlabs-docker,475,Fix supported operating systems in the readme,merged,florindragos,member,2019-04-16 14:53:05 UTC,2019-04-16 15:02:26 UTC
puppetlabs/puppetlabs-docker,473,Add missing apostrophe in array.,merged,towo,contributor,2019-04-11 11:37:45 UTC,2019-04-16 12:21:41 UTC
puppetlabs/puppetlabs-docker,471,Fix publish flag being erroneously added to docker service commands,merged,twistedduck,contributor,2019-04-08 15:16:36 UTC,2019-04-09 07:51:48 UTC
puppetlabs/puppetlabs-docker,470,Fix container running check to work for windows hosts,merged,florindragos,member,2019-04-08 15:00:50 UTC,2019-04-16 14:17:26 UTC
puppetlabs/puppetlabs-docker,468,Allow images tagged latest to update on each run,merged,electrofelix,contributor,2019-04-03 15:55:13 UTC,2019-04-18 07:45:29 UTC
puppetlabs/puppetlabs-docker,466,Support for docker machine download and install,merged,acurus-puppetmaster,contributor,2019-03-25 19:37:07 UTC,2019-04-08 09:05:07 UTC
puppetlabs/puppetlabs-docker,465,Fix docker::image to not run images,merged,hugotanure,contributor,2019-03-22 18:00:31 UTC,2019-04-03 18:24:45 UTC
puppetlabs/puppetlabs-docker,462,Update docker compose version to latest,closed,tarjei,contributor,2019-03-21 11:26:39 UTC,
puppetlabs/puppetlabs-docker,460,WIP: Allow use of .env configuration file when running docker-compose,open,SmithJosh,first_time_contributor,2019-03-19 00:18:39 UTC,
puppetlabs/puppetlabs-docker,459,Update readme for aws logging options,merged,acurus-puppetmaster,contributor,2019-03-18 21:46:45 UTC,2019-03-18 22:51:19 UTC
puppetlabs/puppetlabs-docker,458,release 3.5.0,merged,davejrt,member,2019-03-14 12:07:48 UTC,2019-03-14 12:17:09 UTC
puppetlabs/puppetlabs-docker,454,fix(syntax): Remove duplicate parenthesis,merged,jfroche,contributor,2019-03-12 13:24:18 UTC,2019-03-13 11:28:01 UTC
puppetlabs/puppetlabs-docker,453,making dependency ranges more logical,merged,davejrt,member,2019-03-11 12:39:10 UTC,2019-03-11 13:27:49 UTC
puppetlabs/puppetlabs-docker,452,Docker::Services:: fix command parameter used with an array,merged,jacksgt,contributor,2019-03-09 11:30:50 UTC,2019-03-11 11:16:17 UTC
puppetlabs/puppetlabs-docker,451,adding in capability to attach multiple networks to container,merged,davejrt,member,2019-03-08 18:39:53 UTC,2019-03-12 13:07:49 UTC
puppetlabs/puppetlabs-docker,450,Docker::Services: Add networks parameter for swarm services,merged,jacksgt,contributor,2019-03-08 16:54:21 UTC,2019-03-08 19:33:06 UTC
puppetlabs/puppetlabs-docker,448,Add ability to set service_after_override to false,merged,esalberg,contributor,2019-03-06 21:44:13 UTC,2019-03-08 19:27:47 UTC
puppetlabs/puppetlabs-docker,447,docker::services: Fix using multiple published ports,merged,jacksgt,contributor,2019-03-02 09:26:53 UTC,2019-03-04 10:11:34 UTC
puppetlabs/puppetlabs-docker,446,Add ability to override After for docker.service,merged,esalberg,contributor,2019-02-28 23:30:52 UTC,2019-03-04 15:08:11 UTC
puppetlabs/puppetlabs-docker,443,adding in documentation for use of stack type/provider,merged,davejrt,member,2019-02-25 06:46:35 UTC,2019-02-25 08:12:47 UTC
puppetlabs/puppetlabs-docker,442,release for v3.4.0,merged,davejrt,member,2019-02-25 06:26:04 UTC,2019-02-25 08:13:11 UTC
puppetlabs/puppetlabs-powershell,257,(MODULES-9084) Increase pipe timeout to 180s,open,michaeltlombardi,member,2019-05-22 17:27:26 UTC,
puppetlabs/puppetlabs-powershell,256,(MAINT) Update linux distro in travis,merged,michaeltlombardi,member,2019-04-22 17:51:37 UTC,2019-04-22 18:05:05 UTC
puppetlabs/puppetlabs-powershell,255,Mergeback 2.3.0 Release,merged,michaeltlombardi,member,2019-04-22 16:52:24 UTC,2019-04-22 18:15:35 UTC
puppetlabs/puppetlabs-powershell,254,(MODULES-8924) DOCS Release Review,merged,clairecadman,member,2019-04-16 13:08:08 UTC,2019-04-16 13:10:43 UTC
puppetlabs/puppetlabs-powershell,253,(MODULES-8924) Prepare module for 2.3.0 release,merged,glennsarti,member,2019-04-12 05:55:16 UTC,2019-04-15 15:35:44 UTC
puppetlabs/puppetlabs-powershell,252,{WIP} Ignore me,closed,glennsarti,member,2019-03-22 02:16:12 UTC,
puppetlabs/puppetlabs-powershell,251,(WIN-280) add skip() unless pattern to tests,merged,ThoughtCrhyme,member,2019-03-19 20:25:29 UTC,2019-04-08 16:24:01 UTC
puppetlabs/puppetlabs-powershell,250,(MODULES-8748) Improve pipe reading in the PowerShell Manager,merged,glennsarti,member,2019-03-19 08:54:28 UTC,2019-04-03 22:17:54 UTC
puppetlabs/puppetlabs-powershell,249,(MODULES-8359) Remove non-Windows support for powershell provider,merged,glennsarti,member,2019-02-28 07:44:32 UTC,2019-03-01 18:51:32 UTC
puppetlabs/puppetlabs-powershell,248,(MODULES-8358) Fix typo for EL based test hosts,merged,glennsarti,member,2019-02-25 06:57:35 UTC,2019-02-25 18:58:23 UTC
puppetlabs/puppetlabs-dsc,413,(MODULES-9085) Increase pipe timeout to 180s,open,michaeltlombardi,member,2019-05-22 17:40:01 UTC,
puppetlabs/puppetlabs-dsc,412,Mergeback from 1.9.2 Release,merged,michaeltlombardi,member,2019-04-25 17:04:51 UTC,2019-04-25 17:24:39 UTC
puppetlabs/puppetlabs-dsc,411,(MODULES-8982) Prep for 1.9.2 release,merged,michaeltlombardi,member,2019-04-24 23:40:53 UTC,2019-04-24 23:52:25 UTC
puppetlabs/puppetlabs-dsc,410,(MODULES-8856) Fix using the dsc_psdscrunascredential parameter,merged,GerbenWelter,contributor,2019-04-24 18:16:40 UTC,2019-04-24 23:37:34 UTC
puppetlabs/puppetlabs-dsc,409,(WIP) Fixing creds,closed,michaeltlombardi,member,2019-04-24 16:35:01 UTC,
puppetlabs/puppetlabs-dsc,408,Mergeback PR for 1.9.1,merged,ThoughtCrhyme,member,2019-04-22 21:33:18 UTC,2019-04-24 00:13:24 UTC
puppetlabs/puppetlabs-dsc,407,Fix file validation acceptance tests for Unicode,merged,carabasdaniel,member,2019-04-18 13:37:09 UTC,2019-04-18 20:05:47 UTC
puppetlabs/puppetlabs-dsc,406,(MODULES-8935) Prep for 1.9.1 release,merged,michaeltlombardi,member,2019-04-17 18:16:44 UTC,2019-04-18 19:46:38 UTC
puppetlabs/puppetlabs-dsc,405,(MODULES-8856) Redact debug,merged,michaeltlombardi,member,2019-04-11 20:52:12 UTC,2019-04-12 20:01:26 UTC
puppetlabs/puppetlabs-dsc,404,(MODULES-8811) Mergeback from 1.9.0 release,merged,michaeltlombardi,member,2019-04-03 14:39:30 UTC,2019-04-03 14:55:25 UTC
puppetlabs/puppetlabs-dsc,403,(MODULES-8811) Release 1.9.0,merged,jpogran,member,2019-03-26 18:14:04 UTC,2019-03-28 20:49:28 UTC
puppetlabs/puppetlabs-dsc,402,(WIN-280) add skip() unless pattern to tests,merged,ThoughtCrhyme,member,2019-03-14 22:32:21 UTC,2019-03-15 17:35:53 UTC
puppetlabs/puppetlabs-dsc,401,(MODULES-7689) fix module folder detection,merged,jpogran,member,2019-03-14 18:09:03 UTC,2019-03-22 16:15:33 UTC
puppetlabs/puppetlabs-dsc,400,(MODULES-8450) 2019 DSC Resource update,merged,jpogran,member,2019-03-12 16:06:47 UTC,2019-03-12 20:55:29 UTC
puppetlabs/puppetlabs-acl,145,(WIN280) add skip() unless pattern to tests ,merged,ThoughtCrhyme,member,2019-03-14 18:50:27 UTC,2019-03-19 22:24:19 UTC
puppetlabs/puppetlabs-azure_arm,16,Eliminate obsolete parameter allow_pending_state for azure_server_farm_with_rich_sku; Fix dependencies for elastic_pool_name for azure_sql_database,open,Monual,first_time_contributor,2019-04-03 17:38:11 UTC,
puppetlabs/puppetlabs-chocolatey,151,3.3.0 release mergeback to master,merged,ThoughtCrhyme,member,2019-03-19 22:33:11 UTC,2019-03-19 22:44:45 UTC
puppetlabs/puppetlabs-chocolatey,150,(MODULES-8739) DOCS Release Review,merged,clairecadman,member,2019-03-18 10:55:27 UTC,2019-03-18 15:09:09 UTC
puppetlabs/puppetlabs-chocolatey,149,(WIN-280) add skip() unless pattern to tests,merged,ThoughtCrhyme,member,2019-03-15 20:53:05 UTC,2019-03-19 22:56:09 UTC
puppetlabs/puppetlabs-chocolatey,148,(MODULES-8739) 3.3.0 Release Prep,merged,michaeltlombardi,member,2019-03-14 16:54:23 UTC,2019-03-14 18:33:42 UTC
puppetlabs/puppetlabs-chocolatey,147,(MODULES-8491) Warn about `install_options` secrets,merged,michaeltlombardi,member,2019-02-26 14:10:05 UTC,2019-02-27 17:27:30 UTC
puppetlabs/puppetlabs-reboot,207,(FM-8051) Add RedHat 8 support,open,eimlav,member,2019-05-22 10:48:53 UTC,
puppetlabs/puppetlabs-reboot,206,(WIN-280) add skip() unless pattern to tests,merged,ThoughtCrhyme,member,2019-03-18 18:54:13 UTC,2019-03-18 20:42:42 UTC
puppetlabs/puppetlabs-reboot,205,MODULES-8726: Ensure sbin is in the path,merged,xalimar,contributor,2019-03-06 21:54:54 UTC,2019-03-21 17:27:36 UTC
puppetlabs/puppetlabs-reboot,204,(MAINT) Fix Plan Unit Tests,merged,RandomNoun7,member,2019-03-05 18:00:26 UTC,2019-03-06 17:50:23 UTC
puppetlabs/puppetlabs-reboot,203,[MODULES-8718] Check for root or sudo in the reboot task nix.sh script,merged,thilinapiy,contributor,2019-03-04 17:58:12 UTC,2019-03-13 02:42:42 UTC
puppetlabs/puppetlabs-reboot,202,(MODULES-8717) Fix dependency issue on boltspec,merged,HelenCampbell,member,2019-03-04 17:09:34 UTC,2019-03-06 21:43:56 UTC
puppetlabs/puppetlabs-dsc_lite,108,(MODULES-9086) Increase pipe timeout to 180,merged,michaeltlombardi,member,2019-05-16 15:04:44 UTC,2019-05-17 17:34:47 UTC
puppetlabs/puppetlabs-dsc_lite,107,Fix redacting PuppetSensitive values,open,GerbenWelter,first_time_contributor,2019-04-25 07:53:27 UTC,
puppetlabs/puppetlabs-dsc_lite,106,Mergeback 1.2.1,merged,RandomNoun7,member,2019-04-22 17:03:10 UTC,2019-04-22 17:09:21 UTC
puppetlabs/puppetlabs-dsc_lite,105,(MODULES-8940) Prep for 1.2.1 release,merged,michaeltlombardi,member,2019-04-17 18:18:52 UTC,2019-04-18 19:47:15 UTC
puppetlabs/puppetlabs-dsc_lite,104,(MODULES-8856) Redact debug,merged,michaeltlombardi,member,2019-04-11 19:09:34 UTC,2019-04-12 20:00:05 UTC
puppetlabs/puppetlabs-dsc_lite,103,MAINT remove empty test file.,merged,ThoughtCrhyme,member,2019-03-15 17:52:27 UTC,2019-04-09 18:07:27 UTC
puppetlabs/puppetlabs-dsc_lite,102,(WIN-280) add skip() unless pattern to tests,merged,ThoughtCrhyme,member,2019-03-14 23:39:12 UTC,2019-03-15 18:36:51 UTC
puppetlabs/puppetlabs-scheduled_task,83,(MODULES-7203) Support nonroot task folders,merged,michaeltlombardi,member,2019-05-20 20:23:28 UTC,2019-05-22 15:21:05 UTC
puppetlabs/puppetlabs-scheduled_task,82,(MAINT) Fix matching on litmus tests,merged,ThoughtCrhyme,member,2019-05-17 17:07:24 UTC,2019-05-17 17:23:45 UTC
puppetlabs/puppetlabs-scheduled_task,81,(MODULES-7889) convert acceptance tests to Litmus,merged,ThoughtCrhyme,member,2019-04-20 00:31:09 UTC,2019-04-23 23:59:26 UTC
puppetlabs/puppetlabs-scheduled_task,80,(WIN-280) add skip() unless pattern to tests,merged,ThoughtCrhyme,member,2019-03-19 19:51:02 UTC,2019-03-19 22:27:41 UTC
puppetlabs/puppetlabs-scheduled_task,79,Mergeback PR from 1.0.1 release,merged,ThoughtCrhyme,member,2019-03-04 20:59:32 UTC,2019-03-04 21:37:48 UTC
puppetlabs/puppetlabs-scheduled_task,78,(MODULES-8705) Prep for 1.0.1 release,merged,michaeltlombardi,member,2019-03-04 17:06:22 UTC,2019-03-04 19:42:28 UTC
puppetlabs/puppetlabs-scheduled_task,77,(MODULES-8695) Remove Ruby 2.0 keyword arg syntax ,merged,reidmv,member,2019-02-27 19:00:40 UTC,2019-02-28 19:12:09 UTC
puppetlabs/puppetlabs-kubernetes,289,Add default k8s conf directory creation for worker,open,electrofelix,first_time_contributor,2019-05-16 18:04:19 UTC,
puppetlabs/puppetlabs-kubernetes,287,Fixed duplicate tlsBootstrapToken in config_worker.yaml.erb for kubernetes 1.14,open,Hillkorn,first_time_contributor,2019-05-14 11:28:11 UTC,
puppetlabs/puppetlabs-kubernetes,286,MODULES-9041 Release merge-back v4.0.1 ,merged,lionce,member,2019-05-13 10:40:49 UTC,2019-05-13 10:51:24 UTC
puppetlabs/puppetlabs-kubernetes,285,(MODULES-9037) - 4.0.1 Release Prep,merged,sheenaajay,member,2019-05-13 09:50:20 UTC,2019-05-13 10:00:30 UTC
puppetlabs/puppetlabs-kubernetes,282,Add extra arguments for API server and controller manager,merged,fydai,contributor,2019-05-08 11:05:49 UTC,2019-05-10 12:12:25 UTC
puppetlabs/puppetlabs-kubernetes,281,WIP MODULES-9027 fix spec tests and bug,closed,sheenaajay,member,2019-05-08 08:48:25 UTC,
puppetlabs/puppetlabs-kubernetes,280,cluster name missing tag brackets in worker config,merged,jorhett,contributor,2019-05-03 21:18:31 UTC,2019-05-06 10:51:13 UTC
puppetlabs/puppetlabs-kubernetes,279,MODULES-8947 pdk update on K8 module,merged,sheenaajay,member,2019-05-03 10:09:25 UTC,2019-05-08 10:25:52 UTC
puppetlabs/puppetlabs-kubernetes,278,Avoid log message about waiting for SA when it already exists,merged,jorhett,contributor,2019-05-03 04:06:23 UTC,2019-05-07 11:18:34 UTC
puppetlabs/puppetlabs-kubernetes,274,MODULES-8947 fixing bugs and tests,merged,sheenaajay,member,2019-04-25 10:41:30 UTC,2019-04-26 09:07:07 UTC
puppetlabs/puppetlabs-kubernetes,273,"Tasks 1.14 - add new tasks for version v1beta1, update changelog and metadata",merged,lionce,member,2019-04-17 07:44:52 UTC,2019-04-17 08:55:35 UTC
puppetlabs/puppetlabs-kubernetes,272,Add kubeadm v1beta1,merged,carabasdaniel,member,2019-04-16 06:51:44 UTC,2019-04-16 08:19:24 UTC
puppetlabs/puppetlabs-kubernetes,271,Etcd hostname variable,merged,sw0x2A,contributor,2019-04-09 13:50:13 UTC,2019-04-16 10:38:10 UTC
puppetlabs/puppetlabs-kubernetes,268,add in logo for certified k8s installer,merged,davejrt,member,2019-04-09 06:09:52 UTC,2019-04-09 07:18:29 UTC
puppetlabs/puppetlabs-kubernetes,266,introduce kubernetes_dashboard_url param,merged,SimonHoenscheid,contributor,2019-04-06 11:24:54 UTC,2019-04-15 10:53:23 UTC
puppetlabs/puppetlabs-kubernetes,265,add support for cilium network provider,open,SimonHoenscheid,contributor,2019-04-01 12:21:56 UTC,
puppetlabs/puppetlabs-kubernetes,264,removes redundant variables in the case of not using the cloud provider,merged,davejrt,member,2019-03-26 16:31:20 UTC,2019-04-01 17:26:13 UTC
puppetlabs/puppetlabs-kubernetes,263,Add in Puppet Bolt tasks,merged,carabasdaniel,member,2019-03-21 15:21:46 UTC,2019-03-21 16:15:45 UTC
puppetlabs/puppetlabs-kubernetes,262,release 3.3.0,merged,davejrt,member,2019-03-14 12:03:40 UTC,2019-03-14 12:16:30 UTC
puppetlabs/puppetlabs-kubernetes,261,Make kubectl environment available in main class,merged,jorhett,contributor,2019-03-08 22:09:50 UTC,2019-03-11 16:48:59 UTC
puppetlabs/puppetlabs-kubernetes,259,Store cgroup driver in kubeadm configuration file for kubernetes 1.12+,merged,jorhett,contributor,2019-03-06 00:33:47 UTC,2019-03-11 11:31:17 UTC
puppetlabs/puppetlabs-kubernetes,257,Pass environment to kubectl when waiting for service account,closed,ralimi,contributor,2019-03-05 06:21:19 UTC,
puppetlabs/puppetlabs-iis,220,(MODULES-9087) Increase pipe timeout to 180s,open,michaeltlombardi,member,2019-05-22 17:33:34 UTC,
puppetlabs/puppetlabs-iis,219,WIP(MODULES-8955) add type and provider for webhandler,open,ThoughtCrhyme,member,2019-04-17 17:36:02 UTC,
puppetlabs/puppetlabs-iis,218,WIP(MODULES-8954) add type and provider for webconfigurationproperty,open,ThoughtCrhyme,member,2019-04-17 17:35:45 UTC,
puppetlabs/puppetlabs-iis,217,WIP(MODULES-8953) add type and provider for mimetype,open,ThoughtCrhyme,member,2019-04-17 17:35:20 UTC,
puppetlabs/puppetlabs-iis,216,WIP(MODULES-8952) add isapfilter type and provider,open,ThoughtCrhyme,member,2019-04-17 17:34:58 UTC,
puppetlabs/puppetlabs-iis,215,WIP(MODULES-8951) Add type and provider for iis_httperror,open,ThoughtCrhyme,member,2019-04-17 17:34:35 UTC,
puppetlabs/puppetlabs-iis,214,Mergeback PR for 4.5.1,merged,ThoughtCrhyme,member,2019-04-01 16:42:37 UTC,2019-04-03 14:27:09 UTC
puppetlabs/puppetlabs-iis,213,(MAINT) Remove redundant changelog entry,merged,michaeltlombardi,member,2019-03-27 18:35:24 UTC,2019-03-27 18:37:13 UTC
puppetlabs/puppetlabs-iis,212,Remove redundant entry,closed,michaeltlombardi,member,2019-03-27 18:31:44 UTC,
puppetlabs/puppetlabs-iis,211,Release Prep 4.5.1,merged,RandomNoun7,member,2019-03-27 17:47:46 UTC,2019-03-27 18:22:32 UTC
puppetlabs/puppetlabs-iis,210,Update Changelog for release,merged,RandomNoun7,member,2019-03-27 17:35:03 UTC,2019-03-27 17:44:30 UTC
puppetlabs/puppetlabs-iis,209,(MODULES-6080) Ensure virtualdir removal idempotent,merged,michaeltlombardi,member,2019-03-22 18:47:52 UTC,2019-03-26 17:34:40 UTC
puppetlabs/puppetlabs-iis,208,(MODULES-6061) Fix virtual directory update,merged,RandomNoun7,member,2019-03-21 20:50:07 UTC,2019-03-21 21:26:42 UTC
puppetlabs/puppetlabs-iis,207,(WIN-280) add skip() unless pattern to tests,merged,ThoughtCrhyme,member,2019-03-15 21:36:19 UTC,2019-03-18 16:41:23 UTC
puppetlabs/puppetlabs-sqlserver,313,(MODULES-8600) add DQC to sqlserver_features,merged,tphoney,member,2019-05-21 17:47:37 UTC,2019-05-22 16:36:07 UTC
puppetlabs/puppetlabs-sqlserver,312,(MODULES-7553) Add Example Clarification,merged,RandomNoun7,member,2019-05-17 16:50:47 UTC,2019-05-17 17:30:12 UTC
puppetlabs/puppetlabs-sqlserver,311,(MODULES-6582) Add ability to test against sql server 2017,merged,ThoughtCrhyme,member,2019-04-10 22:42:38 UTC,2019-04-12 16:18:42 UTC
puppetlabs/puppetlabs-sqlserver,310,(MAINT) add support for 2019 to test helpers,merged,ThoughtCrhyme,member,2019-03-29 17:15:58 UTC,2019-03-29 17:56:19 UTC
puppetlabs/puppetlabs-sqlserver,309,(MAINT) Update Paths in Helpers,closed,RandomNoun7,member,2019-03-29 03:48:03 UTC,
puppetlabs/puppetlabs-sqlserver,308,(MODULES-8761) Mergeback from 2.5.0 Release,merged,michaeltlombardi,member,2019-03-26 18:29:30 UTC,2019-03-26 18:38:16 UTC
puppetlabs/puppetlabs-sqlserver,307,(MODULES-8671) Release Prep,merged,RandomNoun7,member,2019-03-25 20:55:38 UTC,2019-03-26 17:54:39 UTC
puppetlabs/puppetlabs-sqlserver,306,(MAINT) Increase timeout interval,merged,RandomNoun7,member,2019-03-22 22:01:47 UTC,2019-03-25 20:25:18 UTC
puppetlabs/puppetlabs-sqlserver,305,(MODULES-8761) Docs release review,merged,clairecadman,member,2019-03-21 10:55:37 UTC,2019-03-22 15:51:21 UTC
puppetlabs/puppetlabs-sqlserver,304,(MAINT) Edit changelog prior to release prep.,merged,RandomNoun7,member,2019-03-20 17:05:21 UTC,2019-03-20 17:09:52 UTC
puppetlabs/puppetlabs-sqlserver,303,(MODULES-8749) Make job_name param required.,merged,RandomNoun7,member,2019-03-18 19:32:10 UTC,2019-03-19 14:22:14 UTC
puppetlabs/puppetlabs-sqlserver,302,(MAINT) Refactor tasks to use shared code file,merged,RandomNoun7,member,2019-03-15 21:23:02 UTC,2019-03-18 19:17:20 UTC
puppetlabs/puppetlabs-sqlserver,301,(MODULES-8610) Add start agent job task,merged,RandomNoun7,member,2019-03-14 19:06:41 UTC,2019-03-15 18:23:51 UTC
